Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
275,275,0,48,-258
276,276,0,48,663
277,277,0,48,178
278,278,0,48,-1
279,279,0,48,194
280,280,0,48,438
281,281,0,48,142
282,282,0,48,133
283,283,0,49,-833
284,284,0,49,-531
285,285,0,49,500
286,286,0,49,-11
287,287,0,49,701
288,288,0,49,425
289,289,0,49,169
290,290,0,49,230
291,291,0,49,-57
292,292,0,49,487
293,293,0,30,749
294,294,0,30,-276
295,295,0,30,394
296,296,0,30,145
297,297,0,30,414
298,298,0,30,-349
299,299,0,30,216
300,300,0,30,647
301,301,0,30,180
302,302,0,30,155
303,303,0,0,-352
304,304,0,0,-25
305,305,0,0,-628
306,306,0,0,210
307,307,0,0,-382
308,308,0,0,738
309,309,0,0,-571
310,310,0,0,-24
311,311,0,0,180
312,312,0,0,683
313,313,0,-29,643
314,314,0,-29,-633
315,315,0,-29,152
316,316,0,-29,-830
317,317,0,-29,419
318,318,0,-29,-796
319,319,0,-29,-383
320,320,0,-29,-533
321,321,0,-29,-109
322,322,0,-29,440
323,323,0,-47,-26
324,324,0,-47,-313
325,325,0,-47,-785
326,326,0,-47,-300
327,327,0,-47,505
328,328,0,-47,-377
329,329,0,-47,162
330,330,0,-47,662
331,331,0,-47,416
332,332,0,-47,446
333,333,0,-46,-299
334,334,0,-46,194
335,335,0,-46,-1
336,336,0,-46,407
337,337,0,-46,181
338,338,0,-46,-533
339,339,0,-46,403
340,340,0,-46,142
341,341,0,-46,215
342,342,0,-46,-128
343,343,0,-26,-44
344,344,0,-26,-89
345,345,0,-26,-45
346,346,0,-26,-112
347,347,0,-26,162
348,348,0,-26,474
349,349,0,-26,-521
350,350,0,-26,227
351,351,0,-26,-514
352,352,0,-26,134
353,353,0,4,-571
354,354,0,4,-538
355,355,0,4,-333
356,356,0,4,-802
357,357,0,4,155
358,358,0,4,-522
359,359,0,4,-65
360,360,0,4,-106
361,361,0,4,-561
362,362,0,4,-607
363,363,0,32,490
364,364,0,32,-305
365,365,0,32,433
366,366,0,32,471
367,367,0,32,-295
